"Document","Motif","Probability","Overlap Score","Precursor Mass","Retention Time","Document Annotation"
"document_1","motif_49","0.549","0.044","226.9506","None","None"
"document_1","motif_92","0.450","0.347","226.9506","None","None"
"document_10","motif_211","0.718","0.827","708.5086","None","None"
"document_10","motif_224","0.099","0.196","708.5086","None","None"
"document_10","motif_170","0.099","0.364","708.5086","None","None"
"document_10","motif_117","0.079","0.649","708.5086","None","None"
"document_100","motif_251","0.987","0.034","337.2336","None","None"
"document_1000","motif_336","0.999","0.629","1058.5995","None","None"
"document_1001","motif_290","0.698","0.575","342.1535","None","None"
"document_1001","motif_137","0.058","0.755","342.1535","None","None"
"document_1001","motif_197","0.053","0.434","342.1535","None","None"
"document_1002","motif_177","0.932","0.093","285.1978","None","None"
"document_1003","motif_340","0.735","0.077","339.1245","None","None"
"document_1003","motif_242","0.152","0.196","339.1245","None","None"
"document_1003","motif_282","0.102","0.059","339.1245","None","None"
"document_1004","motif_84","0.888","0.727","519.4169","None","None"
"document_1005","motif_9","0.999","0.016","289.1244","None","None"
"document_1006","motif_33","0.999","0.018","349.1823","None","None"
"document_1007","motif_363","0.771","0.117","304.2829","None","None"
"document_1007","motif_317","0.170","0.099","304.2829","None","None"
"document_1008","motif_211","0.594","0.827","1371.9549","None","None"
"document_1008","motif_123","0.406","0.085","1371.9549","None","None"
"document_1009","motif_366","0.920","0.026","275.1088","None","None"
"document_101","motif_1","0.887","0.218","492.8822","None","None"
"document_101","motif_92","0.113","0.298","492.8822","None","None"
"document_1010","motif_55","0.576","0.056","415.2578","None","None"
"document_1010","motif_71","0.196","0.780","415.2578","None","None"
"document_1010","motif_202","0.132","0.933","415.2578","None","None"
"document_1011","motif_71","0.971","0.868","400.2161","None","None"
"document_1012","motif_235","0.941","0.044","272.2933","None","None"
"document_1013","motif_148","1.000","0.128","794.4648","None","None"
"document_1014","motif_46","0.937","0.111","224.1275","None","None"
"document_1015","motif_239","0.991","0.094","158.0958","None","None"
"document_1016","motif_124","0.400","0.146","385.3771","None","None"
"document_1016","motif_109","0.281","0.279","385.3771","None","None"
"document_1016","motif_220","0.182","0.484","385.3771","None","None"
"document_1017","motif_71","0.561","0.870","371.2318","None","None"
"document_1017","motif_329","0.220","0.462","371.2318","None","None"
"document_1017","motif_202","0.185","0.569","371.2318","None","None"
"document_1018","motif_355","0.498","0.037","349.2261","None","None"
"document_1018","motif_337","0.497","0.780","349.2261","None","None"
"document_1019","motif_202","0.347","0.843","396.3303","None","None"
"document_1019","motif_191","0.163","0.064","396.3303","None","None"
"document_1019","motif_230","0.124","0.807","396.3303","None","None"
"document_1019","motif_335","0.120","0.357","396.3303","None","None"
"document_1019","motif_170","0.099","0.432","396.3303","None","None"
"document_1019","motif_47","0.086","0.931","396.3303","None","None"
"document_102","motif_202","0.563","0.975","300.2000","None","None"
"document_102","motif_335","0.272","0.400","300.2000","None","None"
"document_102","motif_47","0.129","0.932","300.2000","None","None"
"document_1020","motif_140","0.596","0.203","325.1418","None","None"
"document_1020","motif_330","0.399","0.257","325.1418","None","None"
"document_1021","motif_246","0.248","0.556","334.3088","None","None"
"document_1021","motif_307","0.165","0.059","334.3088","None","None"
"document_1021","motif_220","0.133","0.449","334.3088","None","None"
"document_1021","motif_137","0.106","0.705","334.3088","None","None"
"document_1021","motif_110","0.087","0.500","334.3088","None","None"
"document_1021","motif_47","0.073","0.925","334.3088","None","None"
"document_1021","motif_0","0.052","0.642","334.3088","None","None"
"document_1022","motif_86","0.584","0.017","382.3663","None","None"
"document_1022","motif_31","0.313","0.323","382.3663","None","None"
"document_1023","motif_141","0.654","0.453","321.3135","None","None"
"document_1023","motif_137","0.125","0.786","321.3135","None","None"
"document_1023","motif_110","0.089","0.423","321.3135","None","None"
"document_1024","motif_297","0.477","0.084","335.2182","None","None"
"document_1024","motif_147","0.083","0.103","335.2182","None","None"
"document_1024","motif_352","0.071","0.318","335.2182","None","None"
"document_1025","motif_65","0.379","0.265","319.2979","None","None"
"document_1025","motif_220","0.202","0.549","319.2979","None","None"
"document_1025","motif_137","0.190","0.782","319.2979","None","None"
"document_1025","motif_110","0.091","0.450","319.2979","None","None"
"document_1025","motif_0","0.071","0.640","319.2979","None","None"
"document_1026","motif_373","0.569","0.282","323.1835","None","None"
"document_1026","motif_147","0.121","0.309","323.1835","None","None"
"document_1026","motif_96","0.117","0.799","323.1835","None","None"
"document_1026","motif_371","0.085","0.909","323.1835","None","None"
"document_1027","motif_3","0.997","0.019","362.3013","None","None"
"document_1028","motif_261","0.502","0.116","554.5596","None","None"
"document_1028","motif_129","0.261","0.351","554.5596","None","None"
"document_1028","motif_356","0.130","0.385","554.5596","None","None"
"document_1028","motif_117","0.106","0.649","554.5596","None","None"
"document_1029","motif_81","0.992","0.085","318.1896","None","None"
"document_103","motif_124","0.923","0.017","178.1583","None","None"
"document_103","motif_276","0.055","0.039","178.1583","None","None"
"document_1030","motif_115","0.963","0.487","302.1584","None","None"
"document_1031","motif_78","0.676","0.124","391.3400","None","None"
"document_1031","motif_354","0.114","0.422","391.3400","None","None"
"document_1031","motif_126","0.079","0.548","391.3400","None","None"
"document_1031","motif_1","0.074","0.299","391.3400","None","None"
"document_1031","motif_0","0.057","0.768","391.3400","None","None"
"document_1032","motif_26","0.809","0.822","848.2681","None","None"
"document_1032","motif_119","0.191","0.463","848.2681","None","None"
"document_1033","motif_224","0.850","0.298","294.2621","None","None"
"document_1033","motif_117","0.150","0.649","294.2621","None","None"
"document_1034","motif_364","0.534","0.141","520.3525","None","None"
"document_1034","motif_239","0.465","0.386","520.3525","None","None"
"document_1035","motif_244","0.932","0.021","226.2156","None","None"
"document_1036","motif_286","0.971","0.106","284.2932","None","None"
"document_1037","motif_26","0.821","0.795","686.1789","None","None"
"document_1037","motif_316","0.179","0.435","686.1789","None","None"
"document_1038","motif_169","0.950","0.096","270.2777","None","None"
"document_1039","motif_367","0.673","0.265","350.3404","None","None"
"document_1039","motif_220","0.131","0.552","350.3404","None","None"
"document_1039","motif_141","0.061","0.231","350.3404","None","None"
"document_1039","motif_137","0.053","0.703","350.3404","None","None"
"document_104","motif_378","0.304","0.666","417.3670","None","None"
"document_104","motif_137","0.138","0.653","417.3670","None","None"
"document_104","motif_110","0.123","0.438","417.3670","None","None"
"document_104","motif_220","0.079","0.150","417.3670","None","None"
"document_104","motif_204","0.071","0.744","417.3670","None","None"
"document_104","motif_141","0.061","0.120","417.3670","None","None"
"document_1040","motif_81","0.999","0.068","318.1896","None","None"
"document_1041","motif_122","0.907","0.308","378.2471","None","None"
"document_1042","motif_71","0.539","0.834","393.2446","None","None"
"document_1042","motif_202","0.225","0.646","393.2446","None","None"
"document_1042","motif_329","0.168","0.348","393.2446","None","None"
"document_1043","motif_7","0.569","0.720","392.3717","None","None"
"document_1043","motif_354","0.376","0.657","392.3717","None","None"
"document_1043","motif_337","0.055","0.731","392.3717","None","None"
"document_1044","motif_122","0.939","0.285","420.2573","None","None"
"document_1045","motif_262","0.582","0.375","414.2772","None","None"
"document_1045","motif_275","0.295","0.201","414.2772","None","None"
"document_1046","motif_255","0.380","0.334","468.3873","None","None"
"document_1046","motif_202","0.363","0.654","468.3873","None","None"
"document_1046","motif_230","0.096","0.759","468.3873","None","None"
"document_1046","motif_15","0.079","0.372","468.3873","None","None"
"document_1046","motif_47","0.064","0.906","468.3873","None","None"
"document_1047","motif_337","0.928","0.775","503.0667","None","None"
"document_1048","motif_166","0.789","0.269","207.1582","None","None"
"document_1048","motif_160","0.057","0.233","207.1582","None","None"
"document_1049","motif_83","0.558","0.147","271.9152","None","None"
"document_1049","motif_243","0.376","0.490","271.9152","None","None"
"document_1049","motif_238","0.065","0.325","271.9152","None","None"
"document_105","motif_202","0.457","0.794","482.4028","None","None"
"document_105","motif_255","0.216","0.189","482.4028","None","None"
"document_105","motif_239","0.167","0.164","482.4028","None","None"
"document_1050","motif_398","0.949","0.064","172.1689","None","None"
"document_1051","motif_71","0.618","0.830","680.4034","None","None"
"document_1051","motif_202","0.353","0.938","680.4034","None","None"
"document_1052","motif_264","0.424","0.391","367.3304","None","None"
"document_1052","motif_137","0.208","0.822","367.3304","None","None"
"document_1052","motif_220","0.167","0.518","367.3304","None","None"
"document_1052","motif_0","0.075","0.686","367.3304","None","None"
"document_1052","motif_110","0.062","0.442","367.3304","None","None"
"document_1053","motif_387","0.746","0.149","411.1234","None","None"
"document_1054","motif_4","0.965","0.079","431.1669","None","None"
"document_1055","motif_390","0.365","0.053","437.2701","None","None"
"document_1055","motif_71","0.146","0.837","437.2701","None","None"
"document_1055","motif_202","0.079","0.831","437.2701","None","None"
"document_1055","motif_95","0.067","0.236","437.2701","None","None"
"document_1055","motif_383","0.059","0.104","437.2701","None","None"
"document_1055","motif_108","0.057","0.228","437.2701","None","None"
"document_1056","motif_337","0.997","0.817","480.3345","None","None"
"document_1057","motif_243","0.740","0.446","339.0672","None","None"
"document_1057","motif_238","0.257","0.303","339.0672","None","None"
"document_1058","motif_126","0.467","0.020","270.1838","None","None"
"document_1058","motif_128","0.426","0.274","270.1838","None","None"
"document_1058","motif_315","0.085","0.080","270.1838","None","None"
"document_1059","motif_339","0.797","0.534","392.2625","None","None"
"document_1059","motif_137","0.139","0.632","392.2625","None","None"
"document_106","motif_197","0.980","0.432","377.2274","None","None"
"document_1060","motif_264","0.460","0.483","370.3300","None","None"
"document_1060","motif_220","0.097","0.381","370.3300","None","None"
"document_1060","motif_137","0.087","0.716","370.3300","None","None"
"document_1060","motif_324","0.081","0.981","370.3300","None","None"
"document_1060","motif_110","0.057","0.514","370.3300","None","None"
"document_1060","motif_378","0.057","0.504","370.3300","None","None"
"document_1061","motif_41","0.736","0.217","181.1578","None","None"
"document_1061","motif_386","0.121","0.857","181.1578","None","None"
"document_1061","motif_136","0.080","0.262","181.1578","None","None"
"document_1062","motif_336","0.472","0.664","356.2416","None","None"
"document_1062","motif_283","0.320","0.178","356.2416","None","None"
"document_1062","motif_117","0.096","0.649","356.2416","None","None"
"document_1062","motif_285","0.059","0.433","356.2416","None","None"
"document_1062","motif_224","0.050","0.196","356.2416","None","None"
"document_1063","motif_326","0.344","0.193","376.2678","None","None"
"document_1063","motif_169","0.275","0.302","376.2678","None","None"
"document_1063","motif_220","0.150","0.556","376.2678","None","None"
"document_1064","motif_117","0.701","0.684","562.3630","None","None"
"document_1064","motif_170","0.169","0.364","562.3630","None","None"
"document_1064","motif_224","0.106","0.196","562.3630","None","None"
"document_1065","motif_83","0.335","0.012","272.1994","None","None"
"document_1065","motif_152","0.268","0.573","272.1994","None","None"
"document_1065","motif_337","0.239","0.747","272.1994","None","None"
"document_1065","motif_309","0.116","0.029","272.1994","None","None"
"document_1066","motif_143","0.221","0.191","298.2365","None","None"
"document_1066","motif_153","0.191","0.345","298.2365","None","None"
"document_1066","motif_220","0.134","0.618","298.2365","None","None"
"document_1066","motif_237","0.056","0.718","298.2365","None","None"
"document_1066","motif_110","0.054","0.434","298.2365","None","None"
"document_1066","motif_116","0.052","0.134","298.2365","None","None"
"document_1067","motif_294","0.826","0.032","242.2831","None","None"
"document_1067","motif_170","0.087","0.364","242.2831","None","None"
"document_1067","motif_230","0.087","0.659","242.2831","None","None"
"document_1068","motif_367","0.589","0.127","586.4358","None","None"
"document_1068","motif_180","0.221","0.357","586.4358","None","None"
"document_1068","motif_353","0.099","0.374","586.4358","None","None"
"document_1068","motif_152","0.090","0.558","586.4358","None","None"
"document_1069","motif_302","0.893","0.101","409.1252","None","None"
"document_1069","motif_259","0.063","0.406","409.1252","None","None"
"document_107","motif_200","0.919","0.040","290.2674","None","None"
"document_1070","motif_41","0.700","0.362","235.1319","None","None"
"document_1070","motif_152","0.187","0.616","235.1319","None","None"
"document_1071","motif_20","0.801","0.286","279.0848","None","None"
"document_1071","motif_157","0.129","0.549","279.0848","None","None"
"document_1072","motif_128","0.416","0.272","490.2757","None","None"
"document_1072","motif_140","0.243","0.035","490.2757","None","None"
"document_1072","motif_102","0.167","0.007","490.2757","None","None"
"document_1072","motif_197","0.152","0.419","490.2757","None","None"
"document_1073","motif_116","0.550","0.274","291.1937","None","None"
"document_1073","motif_248","0.414","0.134","291.1937","None","None"
"document_1074","motif_71","0.532","0.848","960.5770","None","None"
"document_1074","motif_202","0.319","0.754","960.5770","None","None"
"document_1074","motif_329","0.128","0.271","960.5770","None","None"
"document_1075","motif_261","0.999","0.024","331.2075","None","None"
"document_1076","motif_52","1.000","0.083","562.3993","None","None"
"document_1077","motif_249","0.954","0.144","426.3041","None","None"
"document_1078","motif_197","0.708","0.081","354.2986","None","None"
"document_1078","motif_137","0.106","0.841","354.2986","None","None"
"document_1078","motif_64","0.057","0.243","354.2986","None","None"
"document_1078","motif_110","0.056","0.449","354.2986","None","None"
"document_1078","motif_0","0.055","0.864","354.2986","None","None"
"document_1079","motif_247","0.889","0.277","399.0935","None","None"
"document_108","motif_75","0.533","0.113","448.2883","None","None"
"document_108","motif_122","0.190","0.244","448.2883","None","None"
"document_108","motif_202","0.116","0.859","448.2883","None","None"
"document_108","motif_378","0.050","0.416","448.2883","None","None"
"document_1080","motif_65","0.282","0.140","442.3330","None","None"
"document_1080","motif_84","0.267","0.501","442.3330","None","None"
"document_1080","motif_220","0.215","0.594","442.3330","None","None"
"document_1080","motif_137","0.071","0.628","442.3330","None","None"
"document_1080","motif_110","0.069","0.467","442.3330","None","None"
"document_1081","motif_202","0.468","0.880","377.3243","None","None"
"document_1081","motif_334","0.180","0.367","377.3243","None","None"
"document_1081","motif_230","0.147","0.840","377.3243","None","None"
"document_1081","motif_225","0.131","0.051","377.3243","None","None"
"document_1081","motif_354","0.071","0.307","377.3243","None","None"
"document_1082","motif_63","0.816","0.052","387.3202","None","None"
"document_1082","motif_253","0.089","0.523","387.3202","None","None"
"document_1083","motif_336","0.468","0.606","293.1732","None","None"
"document_1083","motif_152","0.297","0.611","293.1732","None","None"
"document_1083","motif_330","0.112","0.435","293.1732","None","None"
"document_1084","motif_117","0.659","0.039","302.1949","None","None"
"document_1084","motif_81","0.089","0.069","302.1949","None","None"
"document_1085","motif_250","0.409","0.139","356.3144","None","None"
"document_1085","motif_197","0.129","0.479","356.3144","None","None"
"document_1085","motif_324","0.115","0.982","356.3144","None","None"
"document_1085","motif_110","0.062","0.493","356.3144","None","None"
"document_1085","motif_344","0.061","0.366","356.3144","None","None"
"document_1086","motif_158","0.667","0.163","275.2565","None","None"
"document_1086","motif_354","0.225","0.461","275.2565","None","None"
"document_1086","motif_353","0.108","0.374","275.2565","None","None"
"document_1087","motif_13","0.862","0.025","257.1669","None","None"
"document_1087","motif_114","0.133","0.189","257.1669","None","None"
"document_1088","motif_285","0.520","0.339","289.2469","None","None"
"document_1088","motif_223","0.227","0.523","289.2469","None","None"
"document_1088","motif_92","0.121","0.286","289.2469","None","None"
"document_1088","motif_358","0.080","0.072","289.2469","None","None"
"document_1089","motif_141","0.579","0.549","278.2463","None","None"
"document_1089","motif_142","0.076","0.314","278.2463","None","None"
"document_1089","motif_137","0.073","0.778","278.2463","None","None"
"document_109","motif_26","0.591","0.683","371.0996","None","None"
"document_109","motif_376","0.391","0.034","371.0996","None","None"
"document_1090","motif_133","0.843","0.014","205.1692","None","None"
"document_1090","motif_251","0.145","0.049","205.1692","None","None"
"document_1091","motif_255","0.455","0.392","512.4131","None","None"
"document_1091","motif_202","0.334","0.600","512.4131","None","None"
"document_1091","motif_230","0.107","0.757","512.4131","None","None"
"document_1091","motif_47","0.059","0.899","512.4131","None","None"
"document_1092","motif_73","0.925","0.045","277.1266","None","None"
"document_1092","motif_122","0.056","0.213","277.1266","None","None"
"document_1093","motif_392","0.999","0.036","273.1658","None","None"
"document_1094","motif_342","0.490","0.783","254.2103","None","None"
"document_1094","motif_137","0.133","0.824","254.2103","None","None"
"document_1094","motif_110","0.072","0.455","254.2103","None","None"
"document_1094","motif_131","0.068","0.235","254.2103","None","None"
"document_1094","motif_0","0.066","0.819","254.2103","None","None"
"document_1095","motif_152","0.824","0.586","270.1872","None","None"
"document_1095","motif_169","0.082","0.087","270.1872","None","None"
"document_1096","motif_337","0.887","0.787","174.1269","None","None"
"document_1096","motif_152","0.056","0.581","174.1269","None","None"
"document_1097","motif_71","0.950","0.876","444.2421","None","None"
"document_1098","motif_71","0.491","0.842","916.5530","None","None"
"document_1098","motif_329","0.240","0.425","916.5530","None","None"
"document_1098","motif_202","0.224","0.571","916.5530","None","None"
"document_1099","motif_322","0.814","0.792","445.1955","None","None"
"document_1099","motif_197","0.109","0.385","445.1955","None","None"
"document_11","motif_92","1.000","0.367","498.8991","None","None"
"document_110","motif_92","0.818","0.084","452.2857","None","None"
"document_110","motif_329","0.125","0.314","452.2857","None","None"
"document_110","motif_7","0.057","0.621","452.2857","None","None"
"document_1100","motif_172","0.511","0.123","409.3405","None","None"
"document_1100","motif_220","0.174","0.405","409.3405","None","None"
"document_1100","motif_137","0.109","0.758","409.3405","None","None"
"document_1101","motif_60","0.734","0.080","288.1796","None","None"
"document_1101","motif_263","0.123","0.101","288.1796","None","None"
"document_1101","motif_115","0.096","0.399","288.1796","None","None"
"document_1102","motif_202","0.468","0.701","658.5071","None","None"
"document_1102","motif_255","0.392","0.378","658.5071","None","None"
"document_1102","motif_230","0.109","0.766","658.5071","None","None"
"document_1103","motif_322","0.647","0.792","461.1727","None","None"
"document_1103","motif_113","0.254","0.211","461.1727","None","None"
"document_1104","motif_144","0.555","0.281","154.9896","None","None"
"document_1104","motif_243","0.364","0.324","154.9896","None","None"
"document_1104","motif_79","0.081","0.219","154.9896","None","None"
"document_1105","motif_342","0.520","0.679","228.1948","None","None"
"document_1105","motif_378","0.209","0.693","228.1948","None","None"
"document_1105","motif_137","0.100","0.779","228.1948","None","None"
"document_1106","motif_243","0.999","0.461","255.9376","None","None"
"document_1107","motif_354","0.547","0.785","308.2777","None","None"
"document_1107","motif_170","0.262","0.432","308.2777","None","None"
"document_1107","motif_230","0.108","0.826","308.2777","None","None"
"document_1107","motif_47","0.062","0.922","308.2777","None","None"
"document_1108","motif_78","0.589","0.043","355.0951","None","None"
"document_1108","motif_197","0.321","0.424","355.0951","None","None"
"document_1108","motif_137","0.069","0.968","355.0951","None","None"
"document_1109","motif_375","0.433","0.256","432.3483","None","None"
"document_1109","motif_84","0.244","0.596","432.3483","None","None"
"document_1109","motif_220","0.100","0.315","432.3483","None","None"
"document_1109","motif_110","0.067","0.476","432.3483","None","None"
"document_1109","motif_137","0.058","0.650","432.3483","None","None"
"document_111","motif_356","0.879","0.597","610.6220","None","None"
"document_111","motif_117","0.115","0.649","610.6220","None","None"
"document_1110","motif_119","0.725","0.038","473.1451","None","None"
"document_1110","motif_84","0.113","0.582","473.1451","None","None"
"document_1110","motif_259","0.060","0.455","473.1451","None","None"
"document_1111","motif_84","0.279","0.619","384.3277","None","None"
"document_1111","motif_3","0.237","0.109","384.3277","None","None"
"document_1111","motif_220","0.229","0.593","384.3277","None","None"
"document_1111","motif_137","0.089","0.658","384.3277","None","None"
"document_1111","motif_110","0.077","0.482","384.3277","None","None"
"document_1112","motif_372","0.994","0.012","331.1424","None","None"
"document_1113","motif_354","0.407","0.643","291.2513","None","None"
"document_1113","motif_311","0.293","0.100","291.2513","None","None"
"document_1113","motif_230","0.163","0.806","291.2513","None","None"
"document_1113","motif_202","0.101","0.306","291.2513","None","None"
"document_1114","motif_75","0.816","0.090","364.1364","None","None"
"document_1114","motif_375","0.074","0.294","364.1364","None","None"
"document_1115","motif_71","0.521","0.837","336.2729","None","None"
"document_1115","motif_170","0.197","0.473","336.2729","None","None"
"document_1115","motif_354","0.120","0.758","336.2729","None","None"
"document_1115","motif_230","0.093","0.835","336.2729","None","None"
"document_1116","motif_124","0.566","0.171","371.3614","None","None"
"document_1116","motif_220","0.310","0.896","371.3614","None","None"
"document_1116","motif_199","0.071","0.290","371.3614","None","None"
"document_1117","motif_135","0.725","0.172","240.1947","None","None"
"document_1117","motif_193","0.126","0.251","240.1947","None","None"
"document_1117","motif_267","0.063","0.156","240.1947","None","None"
"document_1118","motif_19","0.565","0.073","318.1896","None","None"
"document_1118","motif_115","0.382","0.411","318.1896","None","None"
"document_1119","motif_118","0.493","0.390","311.2560","None","None"
"document_1119","motif_220","0.131","0.598","311.2560","None","None"
"document_1119","motif_96","0.112","0.821","311.2560","None","None"
"document_1119","motif_110","0.075","0.487","311.2560","None","None"
"document_1119","motif_137","0.062","0.639","311.2560","None","None"
"document_112","motif_297","0.765","0.140","576.4633","None","None"
"document_112","motif_230","0.158","0.802","576.4633","None","None"
"document_112","motif_117","0.058","0.649","576.4633","None","None"
"document_1120","motif_34","0.479","0.355","312.2878","None","None"
"document_1120","motif_220","0.278","0.714","312.2878","None","None"
"document_1121","motif_83","0.991","0.010","333.1509","None","None"
"document_1122","motif_284","0.326","0.028","354.3352","None","None"
"document_1122","motif_220","0.264","0.482","354.3352","None","None"
"document_1122","motif_109","0.240","0.169","354.3352","None","None"
"document_1123","motif_49","0.825","0.220","318.1599","None","None"
"document_1123","motif_259","0.156","0.301","318.1599","None","None"
"document_1124","motif_202","0.399","0.872","335.2774","None","None"
"document_1124","motif_230","0.186","0.816","335.2774","None","None"
"document_1124","motif_311","0.186","0.102","335.2774","None","None"
"document_1124","motif_334","0.153","0.365","335.2774","None","None"
"document_1124","motif_354","0.067","0.306","335.2774","None","None"
"document_1125","motif_62","0.608","0.648","191.1421","None","None"
"document_1125","motif_152","0.196","0.594","191.1421","None","None"
"document_1125","motif_382","0.195","0.579","191.1421","None","None"
"document_1126","motif_304","0.982","0.050","393.2082","None","None"
"document_1127","motif_255","0.854","0.574","460.3095","None","None"
"document_1127","motif_117","0.076","0.650","460.3095","None","None"
"document_1127","motif_108","0.053","0.301","460.3095","None","None"
"document_1128","motif_263","0.397","0.084","288.2029","None","None"
"document_1128","motif_243","0.361","0.343","288.2029","None","None"
"document_1128","motif_60","0.210","0.068","288.2029","None","None"
"document_1129","motif_242","0.892","0.273","303.1475","None","None"
"document_113","motif_129","0.987","0.468","537.5329","None","None"
"document_1130","motif_38","0.570","0.039","353.1664","None","None"
"document_1130","motif_337","0.354","0.731","353.1664","None","None"
"document_1131","motif_128","0.574","0.270","428.2563","None","None"
"document_1131","motif_220","0.077","0.314","428.2563","None","None"
"document_1131","motif_84","0.076","0.431","428.2563","None","None"
"document_1131","motif_110","0.062","0.366","428.2563","None","None"
"document_1132","motif_337","0.979","0.802","550.3393","None","None"
"document_1133","motif_61","0.338","0.060","366.3714","None","None"
"document_1133","motif_114","0.326","0.193","366.3714","None","None"
"document_1133","motif_286","0.318","0.081","366.3714","None","None"
"document_1134","motif_187","0.658","0.486","540.4597","None","None"
"document_1134","motif_137","0.078","0.824","540.4597","None","None"
"document_1134","motif_10","0.058","0.644","540.4597","None","None"
"document_1134","motif_378","0.053","0.582","540.4597","None","None"
"document_1135","motif_348","0.487","0.067","332.3142","None","None"
"document_1135","motif_169","0.224","0.088","332.3142","None","None"
"document_1135","motif_23","0.215","0.169","332.3142","None","None"
"document_1136","motif_26","0.888","0.782","760.1975","None","None"
"document_1136","motif_119","0.112","0.462","760.1975","None","None"
"document_1137","motif_34","0.632","0.512","296.2567","None","None"
"document_1137","motif_220","0.118","0.625","296.2567","None","None"
"document_1137","motif_47","0.069","0.878","296.2567","None","None"
"document_1138","motif_56","0.946","0.049","342.2988","None","None"
"document_1139","motif_84","0.534","0.682","413.4084","None","None"
"document_1139","motif_64","0.228","0.260","413.4084","None","None"
"document_1139","motif_220","0.072","0.298","413.4084","None","None"
"document_114","motif_117","0.394","0.693","284.2053","None","None"
"document_114","motif_335","0.316","0.333","284.2053","None","None"
"document_114","motif_202","0.261","0.922","284.2053","None","None"
"document_1140","motif_10","0.934","0.759","547.5172","None","None"
"document_1141","motif_152","0.292","0.615","163.1474","None","None"
"document_1141","motif_136","0.190","0.197","163.1474","None","None"
"document_1141","motif_386","0.183","0.851","163.1474","None","None"
"document_1141","motif_110","0.125","0.385","163.1474","None","None"
"document_1141","motif_137","0.081","0.711","163.1474","None","None"
"document_1141","motif_385","0.061","0.141","163.1474","None","None"
"document_1141","motif_114","0.053","0.177","163.1474","None","None"
"document_1142","motif_10","0.903","0.772","547.5171","None","None"
"document_1143","motif_317","0.377","0.190","254.2102","None","None"
"document_1143","motif_342","0.212","0.607","254.2102","None","None"
"document_1143","motif_110","0.101","0.687","254.2102","None","None"
"document_1143","motif_330","0.055","0.177","254.2102","None","None"
"document_1143","motif_59","0.052","0.448","254.2102","None","None"
"document_1144","motif_77","0.495","0.381","337.1894","None","None"
"document_1144","motif_96","0.419","0.625","337.1894","None","None"
"document_1145","motif_216","0.921","0.057","399.1768","None","None"
"document_1146","motif_237","0.513","0.839","344.2781","None","None"
"document_1146","motif_17","0.232","0.146","344.2781","None","None"
"document_1146","motif_137","0.063","0.830","344.2781","None","None"
"document_1147","motif_337","0.815","0.734","393.2518","None","None"
"document_1148","motif_119","0.729","0.024","407.2308","None","None"
"document_1148","motif_107","0.071","0.203","407.2308","None","None"
"document_1148","motif_54","0.053","0.189","407.2308","None","None"
"document_1149","motif_26","0.494","0.809","568.1893","None","None"
"document_1149","motif_63","0.242","0.056","568.1893","None","None"
"document_1149","motif_119","0.181","0.463","568.1893","None","None"
"document_1149","motif_129","0.069","0.379","568.1893","None","None"
"document_115","motif_354","0.617","0.788","336.3091","None","None"
"document_115","motif_15","0.244","0.374","336.3091","None","None"
"document_115","motif_230","0.086","0.821","336.3091","None","None"
"document_115","motif_47","0.054","0.921","336.3091","None","None"
"document_1150","motif_235","0.941","0.044","272.2933","None","None"
"document_1151","motif_172","0.492","0.023","346.3090","None","None"
"document_1151","motif_322","0.470","0.792","346.3090","None","None"
"document_1152","motif_322","0.555","0.887","464.3866","None","None"
"document_1152","motif_276","0.389","0.084","464.3866","None","None"
"document_1153","motif_71","0.980","0.866","488.2676","None","None"
"document_1154","motif_271","0.472","0.500","302.2308","None","None"
"document_1154","motif_378","0.224","0.804","302.2308","None","None"
"document_1154","motif_29","0.085","0.572","302.2308","None","None"
"document_1154","motif_10","0.053","0.644","302.2308","None","None"
"document_1155","motif_10","0.407","0.653","210.1843","None","None"
"document_1155","motif_142","0.370","0.391","210.1843","None","None"
"document_1155","motif_137","0.080","0.797","210.1843","None","None"
"document_1155","motif_110","0.059","0.508","210.1843","None","None"
"document_1156","motif_250","0.394","0.014","210.1479","None","None"
"document_1156","motif_135","0.371","0.155","210.1479","None","None"
"document_1156","motif_283","0.126","0.083","210.1479","None","None"
"document_1156","motif_120","0.068","0.212","210.1479","None","None"
"document_1157","motif_169","0.410","0.414","298.1480","None","None"
"document_1157","motif_71","0.372","0.851","298.1480","None","None"
"document_1157","motif_198","0.135","0.730","298.1480","None","None"
"document_1158","motif_262","0.729","0.319","264.1581","None","None"
"document_1158","motif_277","0.252","0.583","264.1581","None","None"
"document_1159","motif_48","0.915","0.089","280.1078","None","None"
"document_116","motif_26","0.342","0.626","556.4392","None","None"
"document_116","motif_337","0.230","0.733","556.4392","None","None"
"document_116","motif_202","0.219","0.898","556.4392","None","None"
"document_116","motif_119","0.073","0.461","556.4392","None","None"
"document_116","motif_396","0.071","0.389","556.4392","None","None"
"document_1160","motif_366","1.000","0.085","518.4025","None","None"
"document_1161","motif_390","0.434","0.048","293.2823","None","None"
"document_1161","motif_220","0.228","0.562","293.2823","None","None"
"document_1161","motif_311","0.078","0.104","293.2823","None","None"
"document_1161","motif_110","0.075","0.435","293.2823","None","None"
"document_1162","motif_123","0.558","0.257","492.3213","None","None"
"document_1162","motif_284","0.206","0.380","492.3213","None","None"
"document_1162","motif_15","0.117","0.372","492.3213","None","None"
"document_1162","motif_33","0.088","0.431","492.3213","None","None"
"document_1163","motif_138","0.706","0.040","392.3120","None","None"
