"Document","Motif","Probability","Overlap Score","Precursor Mass","Retention Time","Document Annotation"
"document_1966","motif_184","0.098","0.620","234.1692","None","None"
"document_1967","motif_38","0.916","0.214","480.3906","None","None"
"document_1967","motif_137","0.066","0.853","480.3906","None","None"
"document_1968","motif_71","0.547","0.863","452.2472","None","None"
"document_1968","motif_214","0.101","0.230","452.2472","None","None"
"document_1968","motif_91","0.087","0.136","452.2472","None","None"
"document_1968","motif_316","0.078","0.078","452.2472","None","None"
"document_1968","motif_345","0.055","0.343","452.2472","None","None"
"document_1969","motif_202","0.446","0.838","484.3820","None","None"
"document_1969","motif_230","0.281","0.815","484.3820","None","None"
"document_1969","motif_255","0.144","0.183","484.3820","None","None"
"document_1969","motif_47","0.053","0.917","484.3820","None","None"
"document_197","motif_372","0.501","0.587","502.3714","None","None"
"document_197","motif_202","0.296","0.950","502.3714","None","None"
"document_197","motif_186","0.085","0.915","502.3714","None","None"
"document_1970","motif_26","0.932","0.707","706.1689","None","None"
"document_1970","motif_316","0.068","0.435","706.1689","None","None"
"document_1971","motif_198","0.600","0.800","498.3611","None","None"
"document_1971","motif_202","0.142","0.903","498.3611","None","None"
"document_1971","motif_230","0.139","0.823","498.3611","None","None"
"document_1972","motif_85","0.902","0.027","231.0831","None","None"
"document_1972","motif_279","0.095","0.044","231.0831","None","None"
"document_1973","motif_13","0.963","0.021","289.0882","None","None"
"document_1974","motif_284","0.999","0.033","386.2520","None","None"
"document_1975","motif_198","0.430","0.769","393.2260","None","None"
"document_1975","motif_345","0.188","0.342","393.2260","None","None"
"document_1975","motif_203","0.102","0.088","393.2260","None","None"
"document_1975","motif_329","0.068","0.428","393.2260","None","None"
"document_1976","motif_389","0.574","0.225","297.1467","None","None"
"document_1976","motif_197","0.097","0.422","297.1467","None","None"
"document_1976","motif_152","0.063","0.619","297.1467","None","None"
"document_1976","motif_157","0.060","0.507","297.1467","None","None"
"document_1977","motif_347","0.573","0.133","440.4192","None","None"
"document_1977","motif_117","0.317","0.652","440.4192","None","None"
"document_1977","motif_285","0.097","0.308","440.4192","None","None"
"document_1978","motif_316","0.249","0.136","512.3029","None","None"
"document_1978","motif_202","0.139","0.852","512.3029","None","None"
"document_1978","motif_91","0.088","0.105","512.3029","None","None"
"document_1978","motif_95","0.079","0.354","512.3029","None","None"
"document_1978","motif_245","0.053","0.747","512.3029","None","None"
"document_1978","motif_108","0.050","0.254","512.3029","None","None"
"document_1979","motif_356","0.926","0.384","638.4177","None","None"
"document_198","motif_202","0.481","0.709","644.4914","None","None"
"document_198","motif_255","0.385","0.268","644.4914","None","None"
"document_198","motif_230","0.104","0.761","644.4914","None","None"
"document_1980","motif_198","0.611","0.789","614.3350","None","None"
"document_1980","motif_202","0.163","0.910","614.3350","None","None"
"document_1980","motif_316","0.057","0.070","614.3350","None","None"
"document_1980","motif_384","0.051","0.093","614.3350","None","None"
"document_1981","motif_82","0.874","0.089","267.1211","None","None"
"document_1982","motif_397","0.878","0.168","202.1794","None","None"
"document_1982","motif_96","0.059","0.623","202.1794","None","None"
"document_1982","motif_371","0.053","0.912","202.1794","None","None"
"document_1983","motif_353","0.414","0.246","195.1218","None","None"
"document_1983","motif_202","0.367","0.854","195.1218","None","None"
"document_1983","motif_23","0.099","0.210","195.1218","None","None"
"document_1983","motif_354","0.080","0.331","195.1218","None","None"
"document_1984","motif_187","0.630","0.449","571.5021","None","None"
"document_1984","motif_350","0.129","0.282","571.5021","None","None"
"document_1984","motif_378","0.080","0.534","571.5021","None","None"
"document_1984","motif_137","0.064","0.860","571.5021","None","None"
"document_1985","motif_379","0.983","0.019","261.1297","None","None"
"document_1986","motif_129","0.924","0.465","537.2974","None","None"
"document_1987","motif_132","0.758","0.224","309.1829","None","None"
"document_1988","motif_262","0.901","0.050","370.2936","None","None"
"document_1988","motif_137","0.083","0.950","370.2936","None","None"
"document_1989","motif_238","0.842","0.595","208.1323","None","None"
"document_1989","motif_310","0.079","0.259","208.1323","None","None"
"document_1989","motif_33","0.079","0.434","208.1323","None","None"
"document_199","motif_176","1.000","0.214","560.4685","None","None"
"document_1990","motif_116","0.500","0.268","291.1935","None","None"
"document_1990","motif_248","0.395","0.134","291.1935","None","None"
"document_1991","motif_71","0.826","0.849","584.3245","None","None"
"document_1991","motif_316","0.066","0.090","584.3245","None","None"
"document_1991","motif_202","0.062","0.895","584.3245","None","None"
"document_1992","motif_197","0.799","0.409","471.4498","None","None"
"document_1992","motif_117","0.112","0.649","471.4498","None","None"
"document_1992","motif_64","0.088","0.268","471.4498","None","None"
"document_1993","motif_256","0.951","0.016","371.2390","None","None"
"document_1994","motif_54","0.639","0.609","323.2198","None","None"
"document_1994","motif_152","0.186","0.580","323.2198","None","None"
"document_1994","motif_241","0.065","0.739","323.2198","None","None"
"document_1995","motif_69","0.788","0.411","511.3397","None","None"
"document_1995","motif_54","0.062","0.515","511.3397","None","None"
"document_1995","motif_353","0.054","0.466","511.3397","None","None"
"document_1996","motif_198","0.491","0.750","872.4888","None","None"
"document_1996","motif_383","0.110","0.139","872.4888","None","None"
"document_1996","motif_191","0.062","0.225","872.4888","None","None"
"document_1996","motif_95","0.061","0.174","872.4888","None","None"
"document_1996","motif_344","0.060","0.110","872.4888","None","None"
"document_1996","motif_380","0.052","0.058","872.4888","None","None"
"document_1996","motif_329","0.051","0.272","872.4888","None","None"
"document_1997","motif_116","0.999","0.258","666.5272","None","None"
