Document	Motif	Probability	Overlap Score	Precursor Mass	Retention Time	Document Annotation	Motif_consensus	Motif_2	Proba_2	Overl_2	Motif_3	Proba_3	Overl_3	Motif_4	Proba_4	Overl_4	Motif_5	Proba_5	Overl_5	Motif_6	Proba_6	Overl_6	Motif_7	Proba_7	Overl_7	Motif_8	Proba_8	Overl_8	Motif_9	Proba_9	Overl_9
1	M49	0.5489999999999999	0.044000000000000004	226.9506	None	None	M49,M92	M92	0.45	0.34700000000000003																					
10	M211	0.718	0.8270000000000001	708.5086	None	None	M211,M224,M170,M117	M224	0.099	0.196	M170	0.099	0.364	M117	0.079	0.649															
100	M251	0.987	0.034	337.2336	None	None	M251																								
1000	M336	0.9990000000000001	0.629	1058.5995	None	None	M336																								
1001	M290	0.698	0.575	342.1535	None	None	M290,M137,M197	M137	0.057999999999999996	0.755	M197	0.053	0.434																		
1002	M177	0.932	0.09300000000000001	285.1978	None	None	M177																								
1003	M340	0.735	0.077	339.1245	None	None	M340,M242,M282	M242	0.152	0.196	M282	0.102	0.059000000000000004																		
1004	M84	0.888	0.727	519.4169	None	None	M84																								
1005	M9	0.9990000000000001	0.016	289.1244	None	None	M9																								
1006	M33	0.9990000000000001	0.018000000000000002	349.1823	None	None	M33																								
1007	M363	0.7709999999999999	0.11699999999999999	304.2829	None	None	M363,M317	M317	0.17	0.099																					
1008	M211	0.594	0.8270000000000001	1371.9549	None	None	M211,M123	M123	0.406	0.085																					
1009	M366	0.92	0.026000000000000002	275.1088	None	None	M366																								
101	M1	0.887	0.218	492.8822	None	None	M1,M92	M92	0.113	0.298																					
1010	M55	0.5760000000000001	0.055999999999999994	415.2578	None	None	M55,M71,M202	M71	0.196	0.78	M202	0.132	0.9329999999999999																		
1011	M71	0.971	0.868	400.2161	None	None	M71																								
1012	M235	0.941	0.044000000000000004	272.2933	None	None	M235																								
1013	M148	1.0	0.128	794.4648	None	None	M148																								
1014	M46	0.937	0.111	224.1275	None	None	M46																								
1015	M239	0.991	0.094	158.0958	None	None	M239																								
1016	M124	0.4	0.146	385.3771	None	None	M124,M109,M220	M109	0.281	0.27899999999999997	M220	0.182	0.484																		
1017	M71	0.561	0.87	371.2318	None	None	M71,M329,M202	M329	0.22	0.462	M202	0.185	0.569																		
1018	M355	0.498	0.037000000000000005	349.2261	None	None	M355,M337	M337	0.49700000000000005	0.78																					
1019	M202	0.34700000000000003	0.843	396.3303	None	None	M202,M191,M230,M335,M170,M47	M191	0.163	0.064	M230	0.124	0.807	M335	0.12	0.35700000000000004	M170	0.099	0.43200000000000005	M47	0.086	0.9309999999999999									
102	M202	0.563	0.975	300.2	None	None	M202,M335,M47	M335	0.272	0.4	M47	0.129	0.932																		
1020	M140	0.596	0.203	325.1418	None	None	M140,M330	M330	0.39899999999999997	0.257																					
1021	M246	0.248	0.556	334.3088	None	None	M246,M307,M220,M137,M110,M47,M0	M307	0.165	0.059000000000000004	M220	0.133	0.449	M137	0.106	0.705	M110	0.087	0.5	M47	0.073	0.925	M0	0.052000000000000005	0.642						
1022	M86	0.584	0.017	382.3663	None	None	M86,M31	M31	0.313	0.32299999999999995																					
1023	M141	0.654	0.45299999999999996	321.3135	None	None	M141,M137,M110	M137	0.125	0.7859999999999999	M110	0.08900000000000001	0.423																		
1024	M297	0.47700000000000004	0.084	335.2182	None	None	M297,M147,M352	M147	0.083	0.10300000000000001	M352	0.071	0.318																		
1025	M65	0.379	0.265	319.2979	None	None	M65,M220,M137,M110,M0	M220	0.20199999999999999	0.5489999999999999	M137	0.19	0.782	M110	0.091	0.45	M0	0.071	0.64												
1026	M373	0.569	0.282	323.1835	None	None	M373,M147,M96,M371	M147	0.121	0.309	M96	0.11699999999999999	0.799	M371	0.085	0.909															
1027	M3	0.997	0.019	362.3013	None	None	M3																								
1028	M261	0.502	0.11599999999999999	554.5596	None	None	M261,M129,M356,M117	M129	0.261	0.35100000000000003	M356	0.13	0.385	M117	0.106	0.649															
1029	M81	0.992	0.085	318.1896	None	None	M81																								
103	M124	0.9229999999999999	0.017	178.1583	None	None	M124,M276	M276	0.055	0.039																					
1030	M115	0.963	0.48700000000000004	302.1584	None	None	M115																								
1031	M78	0.6759999999999999	0.124	391.34	None	None	M78,M354,M126,M1,M0	M354	0.114	0.42200000000000004	M126	0.079	0.5479999999999999	M1	0.07400000000000001	0.299	M0	0.057	0.768												
1032	M26	0.809	0.8220000000000001	848.2681	None	None	M26,M119	M119	0.191	0.46299999999999997																					
1033	M224	0.85	0.298	294.2621	None	None	M224,M117	M117	0.15	0.649																					
1034	M364	0.534	0.141	520.3525	None	None	M364,M239	M239	0.465	0.386																					
1035	M244	0.932	0.021	226.2156	None	None	M244																								
1036	M286	0.971	0.106	284.2932	None	None	M286																								
1037	M26	0.821	0.795	686.1789	None	None	M26,M316	M316	0.179	0.435																					
1038	M169	0.95	0.096	270.2777	None	None	M169																								
1039	M367	0.6729999999999999	0.265	350.3404	None	None	M367,M220,M141,M137	M220	0.131	0.552	M141	0.061	0.231	M137	0.053	0.703															
104	M378	0.304	0.6659999999999999	417.367	None	None	M378,M137,M110,M220,M204,M141	M137	0.138	0.653	M110	0.12300000000000001	0.43799999999999994	M220	0.079	0.15	M204	0.071	0.7440000000000001	M141	0.061	0.12									
1040	M81	0.9990000000000001	0.068	318.1896	None	None	M81																								
1041	M122	0.907	0.308	378.2471	None	None	M122																								
1042	M71	0.539	0.8340000000000001	393.2446	None	None	M71,M202,M329	M202	0.225	0.6459999999999999	M329	0.168	0.348																		
1043	M7	0.569	0.72	392.3717	None	None	M7,M354,M337	M354	0.376	0.657	M337	0.055	0.731																		
1044	M122	0.9390000000000001	0.285	420.2573	None	None	M122																								
1045	M262	0.5820000000000001	0.375	414.2772	None	None	M262,M275	M275	0.295	0.201																					
1046	M255	0.38	0.33399999999999996	468.3873	None	None	M255,M202,M230,M15,M47	M202	0.363	0.654	M230	0.096	0.759	M15	0.079	0.37200000000000005	M47	0.064	0.9059999999999999												
1047	M337	0.9279999999999999	0.775	503.0667	None	None	M337																								
1048	M166	0.789	0.26899999999999996	207.1582	None	None	M166,M160	M160	0.057	0.233																					
1049	M83	0.5579999999999999	0.147	271.9152	None	None	M83,M243,M238	M243	0.376	0.49	M238	0.065	0.325																		
105	M202	0.457	0.794	482.4028	None	None	M202,M255,M239	M255	0.21600000000000003	0.18899999999999997	M239	0.16699999999999998	0.16399999999999998																		
1050	M398	0.9490000000000001	0.064	172.1689	None	None	M398																								
1051	M71	0.618	0.83	680.4034	None	None	M71,M202	M202	0.353	0.938																					
1052	M264	0.424	0.391	367.3304	None	None	M264,M137,M220,M0,M110	M137	0.20800000000000002	0.8220000000000001	M220	0.16699999999999998	0.518	M0	0.075	0.6859999999999999	M110	0.062	0.442												
1053	M387	0.746	0.149	411.1234	None	None	M387																								
1054	M4	0.965	0.079	431.1669	None	None	M4																								
1055	M390	0.365	0.053	437.2701	None	None	M390,M71,M202,M95,M383,M108	M71	0.146	0.8370000000000001	M202	0.079	0.831	M95	0.067	0.23600000000000002	M383	0.059000000000000004	0.10400000000000001	M108	0.057	0.228									
1056	M337	0.997	0.8170000000000001	480.3345	None	None	M337																								
1057	M243	0.74	0.446	339.0672	None	None	M243,M238	M238	0.257	0.303																					
1058	M126	0.467	0.02	270.1838	None	None	M126,M128,M315	M128	0.426	0.27399999999999997	M315	0.085	0.08																		
1059	M339	0.797	0.534	392.2625	None	None	M339,M137	M137	0.139	0.632																					
106	M197	0.98	0.43200000000000005	377.2274	None	None	M197																								
1060	M264	0.46	0.483	370.33	None	None	M264,M220,M137,M324,M110,M378	M220	0.09699999999999999	0.381	M137	0.087	0.716	M324	0.081	0.981	M110	0.057	0.514	M378	0.057	0.504									
1061	M41	0.736	0.217	181.1578	None	None	M41,M386,M136	M386	0.121	0.857	M136	0.08	0.262																		
1062	M336	0.47200000000000003	0.664	356.2416	None	None	M336,M283,M117,M285,M224	M283	0.32	0.17800000000000002	M117	0.096	0.649	M285	0.059000000000000004	0.433	M224	0.05	0.196												
1063	M326	0.344	0.193	376.2678	None	None	M326,M169,M220	M169	0.275	0.302	M220	0.15	0.556																		
1064	M117	0.701	0.684	562.363	None	None	M117,M170,M224	M170	0.16899999999999998	0.364	M224	0.106	0.196																		
1065	M83	0.335	0.012	272.1994	None	None	M83,M152,M337,M309	M152	0.268	0.573	M337	0.239	0.747	M309	0.11599999999999999	0.028999999999999998															
1066	M143	0.221	0.191	298.2365	None	None	M143,M153,M220,M237,M110,M116	M153	0.191	0.345	M220	0.134	0.618	M237	0.055999999999999994	0.718	M110	0.054000000000000006	0.434	M116	0.052000000000000005	0.134									
1067	M294	0.826	0.032	242.2831	None	None	M294,M170,M230	M170	0.087	0.364	M230	0.087	0.659																		
1068	M367	0.589	0.127	586.4358	None	None	M367,M180,M353,M152	M180	0.221	0.35700000000000004	M353	0.099	0.374	M152	0.09	0.5579999999999999															
1069	M302	0.893	0.10099999999999999	409.1252	None	None	M302,M259	M259	0.063	0.406																					
107	M200	0.919	0.04	290.2674	None	None	M200																								
1070	M41	0.7	0.36200000000000004	235.1319	None	None	M41,M152	M152	0.187	0.616																					
1071	M20	0.8009999999999999	0.28600000000000003	279.0848	None	None	M20,M157	M157	0.129	0.5489999999999999																					
1072	M128	0.41600000000000004	0.272	490.2757	None	None	M128,M140,M102,M197	M140	0.243	0.035	M102	0.16699999999999998	0.006999999999999999	M197	0.152	0.419															
1073	M116	0.55	0.27399999999999997	291.1937	None	None	M116,M248	M248	0.414	0.134																					
1074	M71	0.532	0.848	960.577	None	None	M71,M202,M329	M202	0.319	0.754	M329	0.128	0.271																		
1075	M261	0.9990000000000001	0.024	331.2075	None	None	M261																								
1076	M52	1.0	0.083	562.3993	None	None	M52																								
1077	M249	0.9540000000000001	0.14400000000000002	426.3041	None	None	M249																								
1078	M197	0.708	0.081	354.2986	None	None	M197,M137,M64,M110,M0	M137	0.106	0.841	M64	0.057	0.243	M110	0.055999999999999994	0.449	M0	0.055	0.8640000000000001												
1079	M247	0.889	0.27699999999999997	399.0935	None	None	M247																								
108	M75	0.5329999999999999	0.113	448.2883	None	None	M75,M122,M202,M378	M122	0.19	0.244	M202	0.11599999999999999	0.8590000000000001	M378	0.05	0.41600000000000004															
1080	M65	0.282	0.14	442.333	None	None	M65,M84,M220,M137,M110	M84	0.267	0.501	M220	0.215	0.594	M137	0.071	0.628	M110	0.069	0.467												
1081	M202	0.46799999999999997	0.88	377.3243	None	None	M202,M334,M230,M225,M354	M334	0.18	0.36700000000000005	M230	0.147	0.84	M225	0.131	0.051	M354	0.071	0.307												
1082	M63	0.816	0.052000000000000005	387.3202	None	None	M63,M253	M253	0.08900000000000001	0.523																					
1083	M336	0.46799999999999997	0.606	293.1732	None	None	M336,M152,M330	M152	0.297	0.611	M330	0.11199999999999999	0.435																		
1084	M117	0.659	0.039	302.1949	None	None	M117,M81	M81	0.08900000000000001	0.069																					
1085	M250	0.409	0.139	356.3144	None	None	M250,M197,M324,M110,M344	M197	0.129	0.479	M324	0.115	0.982	M110	0.062	0.493	M344	0.061	0.366												
1086	M158	0.667	0.163	275.2565	None	None	M158,M354,M353	M354	0.225	0.461	M353	0.10800000000000001	0.374																		
1087	M13	0.862	0.025	257.1669	None	None	M13,M114	M114	0.133	0.18899999999999997																					
1088	M285	0.52	0.33899999999999997	289.2469	None	None	M285,M223,M92,M358	M223	0.22699999999999998	0.523	M92	0.121	0.28600000000000003	M358	0.08	0.07200000000000001															
1089	M141	0.579	0.5489999999999999	278.2463	None	None	M141,M142,M137	M142	0.076	0.314	M137	0.073	0.778																		
109	M26	0.591	0.6829999999999999	371.0996	None	None	M26,M376	M376	0.391	0.034																					
1090	M133	0.843	0.013999999999999999	205.1692	None	None	M133,M251	M251	0.145	0.049																					
1091	M255	0.455	0.392	512.4131	None	None	M255,M202,M230,M47	M202	0.33399999999999996	0.6	M230	0.107	0.757	M47	0.059000000000000004	0.899															
1092	M73	0.925	0.045	277.1266	None	None	M73,M122	M122	0.055999999999999994	0.213																					
1093	M392	0.9990000000000001	0.036000000000000004	273.1658	None	None	M392																								
1094	M342	0.49	0.7829999999999999	254.2103	None	None	M342,M137,M110,M131,M0	M137	0.133	0.8240000000000001	M110	0.07200000000000001	0.455	M131	0.068	0.235	M0	0.066	0.8190000000000001												
1095	M152	0.8240000000000001	0.586	270.1872	None	None	M152,M169	M169	0.08199999999999999	0.087																					
1096	M337	0.887	0.787	174.1269	None	None	M337,M152	M152	0.055999999999999994	0.581																					
1097	M71	0.95	0.8759999999999999	444.2421	None	None	M71																								
1098	M71	0.491	0.8420000000000001	916.553	None	None	M71,M329,M202	M329	0.24	0.425	M202	0.22399999999999998	0.5710000000000001																		
1099	M322	0.8140000000000001	0.792	445.1955	None	None	M322,M197	M197	0.109	0.385																					
11	M92	1.0	0.36700000000000005	498.8991	None	None	M92																								
110	M92	0.818	0.084	452.2857	None	None	M92,M329,M7	M329	0.125	0.314	M7	0.057	0.621																		
1100	M172	0.511	0.12300000000000001	409.3405	None	None	M172,M220,M137	M220	0.174	0.405	M137	0.109	0.758																		
1101	M60	0.7340000000000001	0.08	288.1796	None	None	M60,M263,M115	M263	0.12300000000000001	0.10099999999999999	M115	0.096	0.39899999999999997																		
1102	M202	0.46799999999999997	0.701	658.5071	None	None	M202,M255,M230	M255	0.392	0.37799999999999995	M230	0.109	0.7659999999999999																		
1103	M322	0.647	0.792	461.1727	None	None	M322,M113	M113	0.254	0.21100000000000002																					
1104	M144	0.555	0.281	154.9896	None	None	M144,M243,M79	M243	0.364	0.324	M79	0.081	0.21899999999999997																		
1105	M342	0.52	0.679	228.1948	None	None	M342,M378,M137	M378	0.209	0.693	M137	0.1	0.779																		
1106	M243	0.9990000000000001	0.461	255.9376	None	None	M243																								
1107	M354	0.547	0.785	308.2777	None	None	M354,M170,M230,M47	M170	0.262	0.43200000000000005	M230	0.10800000000000001	0.826	M47	0.062	0.922															
1108	M78	0.589	0.043	355.0951	None	None	M78,M197,M137	M197	0.321	0.424	M137	0.069	0.968																		
1109	M375	0.433	0.256	432.3483	None	None	M375,M84,M220,M110,M137	M84	0.244	0.596	M220	0.1	0.315	M110	0.067	0.47600000000000003	M137	0.057999999999999996	0.65												
111	M356	0.879	0.597	610.622	None	None	M356,M117	M117	0.115	0.649																					
1110	M119	0.725	0.038	473.1451	None	None	M119,M84,M259	M84	0.113	0.5820000000000001	M259	0.06	0.455																		
1111	M84	0.27899999999999997	0.619	384.3277	None	None	M84,M3,M220,M137,M110	M3	0.237	0.109	M220	0.22899999999999998	0.593	M137	0.08900000000000001	0.6579999999999999	M110	0.077	0.48200000000000004												
1112	M372	0.9940000000000001	0.012	331.1424	None	None	M372																								
1113	M354	0.40700000000000003	0.643	291.2513	None	None	M354,M311,M230,M202	M311	0.293	0.1	M230	0.163	0.8059999999999999	M202	0.10099999999999999	0.306															
1114	M75	0.816	0.09	364.1364	None	None	M75,M375	M375	0.07400000000000001	0.294																					
1115	M71	0.521	0.8370000000000001	336.2729	None	None	M71,M170,M354,M230	M170	0.19699999999999998	0.473	M354	0.12	0.758	M230	0.09300000000000001	0.835															
1116	M124	0.5660000000000001	0.171	371.3614	None	None	M124,M220,M199	M220	0.31	0.8959999999999999	M199	0.071	0.29																		
1117	M135	0.725	0.172	240.1947	None	None	M135,M193,M267	M193	0.126	0.251	M267	0.063	0.156																		
1118	M19	0.565	0.073	318.1896	None	None	M19,M115	M115	0.382	0.41100000000000003																					
1119	M118	0.493	0.39	311.256	None	None	M118,M220,M96,M110,M137	M220	0.131	0.598	M96	0.11199999999999999	0.821	M110	0.075	0.48700000000000004	M137	0.062	0.639												
112	M297	0.765	0.14	576.4633	None	None	M297,M230,M117	M230	0.158	0.802	M117	0.057999999999999996	0.649																		
1120	M34	0.479	0.355	312.2878	None	None	M34,M220	M220	0.278	0.7140000000000001																					
1121	M83	0.991	0.01	333.1509	None	None	M83																								
1122	M284	0.326	0.027999999999999997	354.3352	None	None	M284,M220,M109	M220	0.264	0.48200000000000004	M109	0.24	0.16899999999999998																		
1123	M49	0.825	0.22	318.1599	None	None	M49,M259	M259	0.156	0.301																					
1124	M202	0.39899999999999997	0.872	335.2774	None	None	M202,M230,M311,M334,M354	M230	0.18600000000000003	0.816	M311	0.18600000000000003	0.102	M334	0.153	0.365	M354	0.067	0.306												
1125	M62	0.608	0.648	191.1421	None	None	M62,M152,M382	M152	0.196	0.594	M382	0.195	0.579																		
1126	M304	0.982	0.05	393.2082	None	None	M304																								
1127	M255	0.8540000000000001	0.574	460.3095	None	None	M255,M117,M108	M117	0.076	0.65	M108	0.053	0.301																		
1128	M263	0.397	0.084	288.2029	None	None	M263,M243,M60	M243	0.361	0.34299999999999997	M60	0.21	0.068																		
1129	M242	0.892	0.273	303.1475	None	None	M242																								
113	M129	0.987	0.46799999999999997	537.5329	None	None	M129																								
1130	M38	0.57	0.039	353.1664	None	None	M38,M337	M337	0.354	0.731																					
1131	M128	0.574	0.27	428.2563	None	None	M128,M220,M84,M110	M220	0.077	0.314	M84	0.076	0.431	M110	0.062	0.366															
1132	M337	0.9790000000000001	0.802	550.3393	None	None	M337																								
1133	M61	0.33799999999999997	0.06	366.3714	None	None	M61,M114,M286	M114	0.326	0.193	M286	0.318	0.081																		
1134	M187	0.6579999999999999	0.486	540.4597	None	None	M187,M137,M10,M378	M137	0.078	0.8240000000000001	M10	0.057999999999999996	0.644	M378	0.053	0.5820000000000001															
1135	M348	0.48700000000000004	0.067	332.3142	None	None	M348,M169,M23	M169	0.22399999999999998	0.08800000000000001	M23	0.215	0.16899999999999998																		
1136	M26	0.888	0.782	760.1975	None	None	M26,M119	M119	0.11199999999999999	0.462																					
1137	M34	0.632	0.512	296.2567	None	None	M34,M220,M47	M220	0.11800000000000001	0.625	M47	0.069	0.878																		
1138	M56	0.946	0.049	342.2988	None	None	M56																								
1139	M84	0.534	0.682	413.4084	None	None	M84,M64,M220	M64	0.228	0.26	M220	0.07200000000000001	0.298																		
114	M117	0.39399999999999996	0.693	284.2053	None	None	M117,M335,M202	M335	0.316	0.33299999999999996	M202	0.261	0.922																		
1140	M10	0.934	0.759	547.5172	None	None	M10																								
1141	M152	0.292	0.615	163.1474	None	None	M152,M136,M386,M110,M137,M385,M114	M136	0.19	0.19699999999999998	M386	0.183	0.851	M110	0.125	0.385	M137	0.081	0.711	M385	0.061	0.141	M114	0.053	0.177						
1142	M10	0.903	0.772	547.5171	None	None	M10																								
1143	M317	0.377	0.19	254.2102	None	None	M317,M342,M110,M330,M59	M342	0.212	0.607	M110	0.10099999999999999	0.687	M330	0.055	0.177	M59	0.052000000000000005	0.44799999999999995												
1144	M77	0.495	0.381	337.1894	None	None	M77,M96	M96	0.419	0.625																					
1145	M216	0.9209999999999999	0.057	399.1768	None	None	M216																								
1146	M237	0.513	0.8390000000000001	344.2781	None	None	M237,M17,M137	M17	0.23199999999999998	0.146	M137	0.063	0.83																		
1147	M337	0.815	0.7340000000000001	393.2518	None	None	M337																								
1148	M119	0.7290000000000001	0.024	407.2308	None	None	M119,M107,M54	M107	0.071	0.203	M54	0.053	0.18899999999999997																		
1149	M26	0.494	0.809	568.1893	None	None	M26,M63,M119,M129	M63	0.242	0.055999999999999994	M119	0.18100000000000002	0.46299999999999997	M129	0.069	0.379															
115	M354	0.617	0.7879999999999999	336.3091	None	None	M354,M15,M230,M47	M15	0.244	0.374	M230	0.086	0.821	M47	0.054000000000000006	0.9209999999999999															
1150	M235	0.941	0.044000000000000004	272.2933	None	None	M235																								
1151	M172	0.49200000000000005	0.023	346.309	None	None	M172,M322	M322	0.47	0.792																					
1152	M322	0.555	0.887	464.3866	None	None	M322,M276	M276	0.389	0.084																					
1153	M71	0.98	0.866	488.2676	None	None	M71																								
1154	M271	0.47200000000000003	0.5	302.2308	None	None	M271,M378,M29,M10	M378	0.22399999999999998	0.804	M29	0.085	0.5720000000000001	M10	0.053	0.644															
1155	M10	0.40700000000000003	0.653	210.1843	None	None	M10,M142,M137,M110	M142	0.37	0.391	M137	0.08	0.797	M110	0.059000000000000004	0.508															
1156	M250	0.39399999999999996	0.013999999999999999	210.1479	None	None	M250,M135,M283,M120	M135	0.371	0.155	M283	0.126	0.083	M120	0.068	0.212															
1157	M169	0.41	0.414	298.148	None	None	M169,M71,M198	M71	0.37200000000000005	0.851	M198	0.135	0.73																		
1158	M262	0.7290000000000001	0.319	264.1581	None	None	M262,M277	M277	0.252	0.583																					
1159	M48	0.915	0.08900000000000001	280.1078	None	None	M48																								
116	M26	0.342	0.626	556.4392	None	None	M26,M337,M202,M119,M396	M337	0.23	0.733	M202	0.21899999999999997	0.898	M119	0.073	0.461	M396	0.071	0.389												
1160	M366	1.0	0.085	518.4025	None	None	M366																								
1161	M390	0.434	0.048	293.2823	None	None	M390,M220,M311,M110	M220	0.228	0.562	M311	0.078	0.10400000000000001	M110	0.075	0.435															
1162	M123	0.5579999999999999	0.257	492.3213	None	None	M123,M284,M15,M33	M284	0.20600000000000002	0.38	M15	0.11699999999999999	0.37200000000000005	M33	0.08800000000000001	0.431															
1163	M138	0.706	0.04	392.312	None	None	M138,M339,M137	M339	0.11199999999999999	0.215	M137	0.11199999999999999	0.738																		
1164	M115	0.506	0.242	512.2164	None	None	M115,M337,M200	M337	0.43700000000000006	0.821	M200	0.055	0.23600000000000002																		
1165	M71	0.983	0.852	576.3197	None	None	M71																								
1166	M118	0.414	0.243	313.2718	None	None	M118,M220,M302	M220	0.341	0.772	M302	0.06	0.235																		
1167	M270	0.9520000000000001	0.06	268.2369	None	None	M270																								
1168	M84	0.46399999999999997	0.598	431.4187	None	None	M84,M285,M109,M137,M64	M285	0.18600000000000003	0.32899999999999996	M109	0.09699999999999999	0.16699999999999998	M137	0.076	0.7440000000000001	M64	0.07	0.25												
1169	M71	0.513	0.8270000000000001	1180.7082	None	None	M71,M202,M329	M202	0.414	0.871	M329	0.051	0.092																		
117	M255	0.531	0.43799999999999994	526.4284	None	None	M255,M202,M230	M202	0.312	0.5489999999999999	M230	0.065	0.7340000000000001																		
1170	M255	0.424	0.363	556.4391	None	None	M255,M202,M230	M202	0.392	0.649	M230	0.12	0.765																		
1171	M128	0.938	0.254	484.2824	None	None	M128																								
1172	M342	0.5589999999999999	0.016	513.23	None	None	M342,M36	M36	0.08	0.035																					
1173	M234	0.602	0.337	560.4495	None	None	M234,M187,M285,M322	M187	0.121	0.435	M285	0.10400000000000001	0.308	M322	0.075	0.792															
1174	M220	0.368	0.7929999999999999	432.33	None	None	M220,M302,M169	M302	0.25	0.268	M169	0.235	0.314																		
1175	M364	1.0	0.47	328.8311	None	None	M364																								
1176	M63	0.8170000000000001	0.038	321.1581	None	None	M63,M259,M343	M259	0.077	0.414	M343	0.061	0.039																		
1177	M337	0.9990000000000001	0.7859999999999999	381.207	None	None	M337																								
1178	M195	0.619	0.045	510.4131	None	None	M195,M285,M192	M285	0.26899999999999996	0.409	M192	0.07	0.331																		
1179	M106	0.6970000000000001	0.08	264.1216	None	None	M106,M96,M259	M96	0.135	0.626	M259	0.08900000000000001	0.45299999999999996																		
118	M129	0.616	0.48200000000000004	537.1468	None	None	M129,M26	M26	0.315	0.598																					
1180	M398	0.963	0.064	172.1689	None	None	M398																								
1181	M235	0.361	0.023	349.2187	None	None	M235,M71,M202,M383	M71	0.307	0.828	M202	0.22	0.89	M383	0.09300000000000001	0.094															
1182	M84	0.489	0.691	447.3956	None	None	M84,M347,M220	M347	0.321	0.049	M220	0.07	0.325																		
1183	M202	0.521	0.9490000000000001	440.3561	None	None	M202,M230,M47,M170	M230	0.278	0.828	M47	0.075	0.9309999999999999	M170	0.061	0.43200000000000005															
1184	M30	0.621	0.09699999999999999	286.2725	None	None	M30,M371	M371	0.35100000000000003	0.912																					
1185	M71	0.986	0.866	532.2933	None	None	M71																								
1186	M190	0.789	0.044000000000000004	376.317	None	None	M190,M390,M126	M390	0.124	0.096	M126	0.087	0.552																		
1187	M348	0.963	0.1	455.1305	None	None	M348																								
1188	M182	0.79	0.098	353.1399	None	None	M182,M282	M282	0.07200000000000001	0.07200000000000001																					
1189	M201	0.575	0.183	251.1266	None	None	M201,M338,M110,M330,M152	M338	0.095	0.46	M110	0.087	0.725	M330	0.06	0.184	M152	0.059000000000000004	0.56												
119	M360	0.938	0.2	223.0626	None	None	M360																								
1190	M105	0.273	0.226	265.142	None	None	M105,M171,M96,M157,M54	M171	0.22	0.165	M96	0.168	0.6859999999999999	M157	0.159	0.659	M54	0.151	0.266												
1191	M10	0.871	0.753	624.6013	None	None	M10,M64	M64	0.121	0.24100000000000002																					
1192	M106	0.6920000000000001	0.109	372.3092	None	None	M106,M220,M26,M322	M220	0.062	0.485	M26	0.055999999999999994	0.272	M322	0.052000000000000005	0.79															
1193	M45	0.519	0.158	391.2361	None	None	M45,M96	M96	0.457	0.623																					
1194	M305	0.706	0.018000000000000002	457.1285	None	None	M305,M388,M124	M388	0.128	0.068	M124	0.099	0.047																		
1195	M322	0.89	0.88	198.1268	None	None	M322,M283	M283	0.081	0.111																					
1196	M136	0.772	0.28600000000000003	278.1098	None	None	M136,M78	M78	0.11199999999999999	0.071																					
1197	M237	0.685	0.878	344.2781	None	None	M237,M322,M110	M322	0.057	0.789	M110	0.051	0.434																		
1198	M114	0.887	0.223	287.2136	None	None	M114,M193	M193	0.09699999999999999	0.251																					
1199	M26	0.863	0.857	626.2127	None	None	M26,M119	M119	0.13	0.461																					
12	M1	1.0	0.207	566.8863	None	None	M1																								
120	M79	0.596	0.11800000000000001	180.989	None	None	M79,M145,M38,M243	M145	0.22399999999999998	0.21100000000000002	M38	0.10400000000000001	0.451	M243	0.055999999999999994	0.18100000000000002															
1200	M152	0.9229999999999999	0.025	326.3401	None	None	M152,M317	M317	0.077	0.107																					
1201	M71	0.5489999999999999	0.8270000000000001	1136.6822	None	None	M71,M202,M329	M202	0.322	0.8	M329	0.08900000000000001	0.171																		
1202	M33	0.912	0.185	589.0746	None	None	M33,M96	M96	0.052000000000000005	0.623																					
1203	M308	0.498	0.418	257.116	None	None	M308,M330	M330	0.419	0.042																					
1204	M19	0.523	0.095	283.1676	None	None	M19,M112,M346	M112	0.142	0.217	M346	0.08199999999999999	0.871																		
1205	M181	0.907	0.198	224.0911	None	None	M181,M144	M144	0.055	0.318																					
1206	M23	0.539	0.213	251.1994	None	None	M23,M137,M110,M166	M137	0.126	0.8059999999999999	M110	0.095	0.62	M166	0.08800000000000001	0.382															
1207	M336	0.701	0.72	342.2261	None	None	M336,M342,M33	M342	0.153	0.272	M33	0.063	0.42700000000000005																		
1208	M216	0.9990000000000001	0.049	399.1771	None	None	M216																								
1209	M125	0.932	0.243	236.091	None	None	M125																								
121	M223	0.358	0.602	226.1792	None	None	M223,M88,M59,M342,M110	M88	0.191	0.485	M59	0.086	0.462	M342	0.07200000000000001	0.348	M110	0.057	0.583												
1210	M268	0.95	0.057	244.2623	None	None	M268																								
1211	M199	0.643	0.29	596.5232	None	None	M199,M143,M137,M230,M141	M143	0.09699999999999999	0.132	M137	0.083	0.902	M230	0.053	0.691	M141	0.051	0.221												
1212	M71	0.631	0.865	342.1747	None	None	M71,M198,M169	M198	0.23600000000000002	0.777	M169	0.053	0.318																		
1213	M372	0.6679999999999999	0.391	397.2929	None	None	M372,M202,M186	M202	0.17300000000000001	0.935	M186	0.084	0.711																		
1214	M360	1.0	0.34700000000000003	434.1673	None	None	M360																								
1215	M128	0.9540000000000001	0.294	374.2097	None	None	M128																								
1216	M176	0.9990000000000001	0.065	685.4324	None	None	M176																								
1217	M65	0.965	0.45399999999999996	499.2823	None	None	M65																								
1218	M45	0.877	0.024	363.291	None	None	M45,M180	M180	0.122	0.35700000000000004																					
