Document	Motif	Probability	Overlap Score	Precursor Mass	Retention Time	Document Annotation	Motif_consensus	Motif_2	Proba_2	Overl_2	Motif_3	Proba_3	Overl_3	Motif_4	Proba_4	Overl_4	Motif_5	Proba_5	Overl_5	Motif_6	Proba_6	Overl_6	Motif_7	Proba_7	Overl_7	Motif_8	Proba_8	Overl_8	Motif_9	Proba_9	Overl_9
184	M328	0.514	0.032	408.2276	None	None	M328,M170,M123,M1	M170	0.147	0.364	M123	0.145	0.09	M1	0.069	0.3															
1840	M87	0.862	0.051	216.195	None	None	M87,M136	M136	0.07200000000000001	0.27																					
1841	M71	0.9670000000000001	0.852	708.398	None	None	M71																								
1842	M202	0.47200000000000003	0.9129999999999999	598.3925	None	None	M202,M334,M1,M230	M334	0.307	0.107	M1	0.106	0.298	M230	0.081	0.7509999999999999															
1843	M180	0.831	0.39899999999999997	459.3001	None	None	M180,M353	M353	0.129	0.374																					
1844	M180	0.943	0.162	544.3598	None	None	M180																								
1845	M71	0.519	0.8540000000000001	650.3565	None	None	M71,M198,M202	M198	0.40399999999999997	0.7929999999999999	M202	0.075	0.894																		
1846	M141	0.607	0.428	343.2827	None	None	M141,M373,M137,M110	M373	0.105	0.188	M137	0.085	0.7559999999999999	M110	0.071	0.34															
1847	M18	0.915	0.049	532.3279	None	None	M18																								
1848	M277	0.579	0.625	210.1116	None	None	M277,M117	M117	0.41200000000000003	0.65																					
1849	M9	0.828	0.141	238.1428	None	None	M9,M41	M41	0.055	0.141																					
185	M338	0.797	0.505	701.616	None	None	M338,M253,M192	M253	0.10400000000000001	0.423	M192	0.061	0.59																		
1850	M197	0.863	0.42	456.2275	None	None	M197,M339,M284	M339	0.053	0.335	M284	0.051	0.38																		
1851	M7	0.565	0.7170000000000001	422.3457	None	None	M7,M71,M334,M202,M354	M71	0.131	0.7829999999999999	M334	0.087	0.345	M202	0.08	0.602	M354	0.06	0.40399999999999997												
1852	M86	0.589	0.062	642.4337	None	None	M86,M83,M134	M83	0.31	0.073	M134	0.1	0.106																		
1853	M86	0.589	0.062	642.4337	None	None	M86,M83,M134	M83	0.31	0.073	M134	0.1	0.106																		
1854	M116	0.635	0.262	522.3762	None	None	M116,M336,M217,M82	M336	0.10400000000000001	0.531	M217	0.08900000000000001	0.349	M82	0.084	0.127															
1855	M71	0.5589999999999999	0.838	798.4488	None	None	M71,M198,M202	M198	0.252	0.6609999999999999	M202	0.113	0.833																		
1856	M343	0.74	0.13699999999999998	393.2154	None	None	M343,M152,M54	M152	0.10800000000000001	0.556	M54	0.086	0.418																		
1857	M71	0.519	0.8590000000000001	754.4278	None	None	M71,M198,M202	M198	0.262	0.688	M202	0.125	0.9059999999999999																		
1858	M322	0.659	0.88	569.4071	None	None	M322,M8,M172	M8	0.204	0.15	M172	0.057	0.027000000000000003																		
1859	M220	0.47200000000000003	0.731	488.3923	None	None	M220,M225,M65,M394	M225	0.26899999999999996	0.031	M65	0.156	0.231	M394	0.055	0.191															
186	M366	0.753	0.057999999999999996	519.1362	None	None	M366,M316,M126	M316	0.13	0.435	M126	0.11699999999999999	0.552																		
1860	M71	0.9990000000000001	0.8420000000000001	752.4241	None	None	M71																								
1861	M211	0.579	0.725	708.5084	None	None	M211,M170,M117	M170	0.301	0.46399999999999997	M117	0.113	0.649																		
1862	M291	0.722	0.11900000000000001	411.17	None	None	M291,M385	M385	0.261	0.09699999999999999																					
1863	M138	1.0	0.059000000000000004	934.6363	None	None	M138																								
1864	M314	0.9990000000000001	0.055	278.2076	None	None	M314																								
1865	M376	0.94	0.068	376.2616	None	None	M376																								
1866	M26	0.883	0.7909999999999999	852.2256	None	None	M26,M119	M119	0.111	0.462																					
1867	M355	0.728	0.17300000000000001	344.2781	None	None	M355,M378,M10	M378	0.067	0.615	M10	0.054000000000000006	0.644																		
1868	M261	0.6759999999999999	0.179	272.2569	None	None	M261,M47,M322,M113	M47	0.106	0.9229999999999999	M322	0.069	0.792	M113	0.051	0.14400000000000002															
1869	M267	0.758	0.381	349.3046	None	None	M267,M378	M378	0.2	0.7959999999999999																					
187	M202	0.57	0.919	466.408	None	None	M202,M335,M230,M47	M335	0.21100000000000002	0.315	M230	0.084	0.807	M47	0.079	0.9179999999999999															
1870	M243	1.0	0.161	557.2172	None	None	M243																								
1871	M71	0.47600000000000003	0.846	842.4802	None	None	M71,M198,M83,M202	M198	0.222	0.667	M83	0.146	0.188	M202	0.10099999999999999	0.809															
1872	M26	0.915	0.8170000000000001	854.2054	None	None	M26,M316	M316	0.085	0.43700000000000006																					
1873	M13	0.624	0.018000000000000002	332.2353	None	None	M13,M322,M314,M80	M322	0.135	0.841	M314	0.111	0.39299999999999996	M80	0.071	0.102															
1874	M294	0.9990000000000001	0.032	276.192	None	None	M294																								
1875	M335	0.677	0.081	388.3404	None	None	M335,M0,M394,M386	M0	0.14300000000000002	0.9440000000000001	M394	0.12300000000000001	0.191	M386	0.057	0.6409999999999999															
1876	M71	0.524	0.8420000000000001	694.3825	None	None	M71,M198,M202	M198	0.40299999999999997	0.7809999999999999	M202	0.07200000000000001	0.872																		
1877	M92	0.7829999999999999	0.073	525.3415	None	None	M92,M137	M137	0.06	0.8340000000000001																					
1878	M183	0.992	0.052000000000000005	369.2603	None	None	M183																								
1879	M8	1.0	0.18600000000000003	815.3271	None	None	M8																								
188	M142	1.0	0.037000000000000005	592.4552	None	None	M142																								
1880	M334	0.636	0.47	366.2987	None	None	M334,M202	M202	0.1	0.865																					
1881	M153	0.573	0.518	314.2672	None	None	M153,M378,M110,M47	M378	0.146	0.696	M110	0.063	0.5579999999999999	M47	0.057	0.907															
1882	M202	0.444	0.877	377.3244	None	None	M202,M334,M230,M225,M354	M334	0.209	0.368	M230	0.14	0.831	M225	0.131	0.049	M354	0.069	0.308												
1883	M98	0.821	0.618	229.1789	None	None	M98,M137	M137	0.061	0.8190000000000001																					
1884	M359	0.998	0.21	299.9946	None	None	M359																								
1885	M116	0.726	0.258	595.4656	None	None	M116,M217,M19	M217	0.179	0.368	M19	0.078	0.044000000000000004																		
1886	M191	0.9229999999999999	0.297	436.3976	None	None	M191,M7	M7	0.076	0.7190000000000001																					
1887	M71	0.43	0.858	886.5016	None	None	M71,M198,M383,M202	M198	0.21899999999999997	0.721	M383	0.14	0.359	M202	0.09300000000000001	0.8170000000000001															
1888	M333	0.8440000000000001	0.157	414.0801	None	None	M333,M371	M371	0.095	0.887																					
1889	M129	0.7070000000000001	0.026000000000000002	185.1277	None	None	M129,M238	M238	0.252	0.44299999999999995																					
189	M26	0.8690000000000001	0.752	700.2315	None	None	M26,M119	M119	0.131	0.462																					
1890	M348	0.816	0.107	332.3142	None	None	M348,M286	M286	0.08900000000000001	0.081																					
1891	M317	0.221	0.136	286.2361	None	None	M317,M153,M280,M110,M96,M131,M237	M153	0.196	0.302	M280	0.09	0.467	M110	0.07400000000000001	0.614	M96	0.065	0.622	M131	0.065	0.21600000000000003	M237	0.057999999999999996	0.773						
1892	M163	0.9990000000000001	0.019	341.2653	None	None	M163																								
1893	M271	0.48	0.48100000000000004	302.2308	None	None	M271,M378,M29,M137,M10	M378	0.21	0.74	M29	0.085	0.5710000000000001	M137	0.065	0.74	M10	0.061	0.644												
1894	M337	0.91	0.79	409.2469	None	None	M337																								
1895	M97	0.753	0.05	317.2603	None	None	M97,M184	M184	0.195	0.619																					
1896	M342	0.509	0.711	228.1948	None	None	M342,M378,M137	M378	0.23	0.715	M137	0.08900000000000001	0.73																		
